Pemain;Klub;Posisi
Elvis Nelson Anes;Mitra Kukar;Bek
Elvis Nelson Anes;Persijatim Jakarta Timur;Bek
Indriyanto Setyo Nugroho;Persiba Bantul;Penyerang
Indriyanto Setyo Nugroho;Persik Kediri;Penyerang
Indriyanto Setyo Nugroho;PSIS Semarang;Penyerang
Indriyanto Setyo Nugroho;Persepam Pamekasan;Penyerang
Indriyanto Setyo Nugroho;Persih Tembilahan;Penyerang
David Faristian;Persegres Gresik;Gelandang
David Faristian;PS Barito Putera;Gelandang
David Faristian;Persipur Purwodadi;Gelandang
Soleman Lubis;Persija Jakarta;Bek
Soleman Lubis;Persija Jakarta U-21;Bek
Fahreza Agamal;Persija Jakarta;Bek
Fahreza Agamal;Persija Jakarta U-21;Bek
Ade Mochtar;Persegres Gresik;Kiper
Ade Mochtar;Bontang FC;Kiper
Ade Mochtar;Persigo Gorontalo;Kiper
Ade Suhendra;Persegres Gresik;Bek
Ade Suhendra;Sriwijaya FC;Bek
Duani Pasatria;Persegres Gresik;Gelandang
Achmad Syaful Amry;Persegres Gresik;Kiper
Achmad Syaful Amry;Perseru Serui;Kiper
Alfian Habibi;Persegres Gresik;Bek
Alfian Habibi;PSMS Medan;Bek
Rudianto;Persegres Gresik;Bek
Rudianto;Pelita Bandung Raya;Bek
Rudianto;Semen Padang;Bek
Rudianto;Gresik United;Bek
I Gede Sukadana Pratama;Persela Lamongan;Gelandang bertahan
Eki Nurhakim;Persiba Balikpapan;Striker
Eki Nurhakim;Persijap Jepara;Striker
Eki Nurhakim;Sriwijaya FC;Striker
M. Nur Iskandar;Persibo Bojonegoro;Striker
M. Nur Iskandar;Persitara;Striker
M. Nur Iskandar;Batavia Union;Striker
Aang Suparman;Persiba Balikpapan;Bek
Aang Suparman;Persib Bandung;Bek
Aang Suparman;Persibo Bojonegoro;Bek
Edi Sibung;Persibo Bojonegoro;Defender
Edi Sibung;PSMS Medan;Defender
Edi Sibung;PSPS;Defender
Gustavo Hernan Ortiz;Persibo Bojonegoro;Midfielder
Gustavo Hernan Ortiz;Persija Jakarta;Midfielder
Gustavo Hernan Ortiz;Persisam Putra Samarinda;Midfielder
Gustavo Hernan Ortiz;PSIS Semarang;Midfielder
Gustavo Hernan Ortiz;Jakarta 1928 FC;Midfielder
Lexe Anderson;Persibo Bojonegoro;Pemain bertahan
Lexe Anderson;PSIS Semarang;Pemain bertahan
Lexe Anderson;PSMS Medan;Pemain bertahan
Lexe Anderson;PSSB Bireuen;Pemain bertahan
Lexe Anderson;PSS Sleman;Pemain bertahan
Lexe Anderson;Gresik United;Pemain bertahan
Waskito;Persebaya Surabaya;Penyerang
Arthur Irawan;RCD Espanyol;Pemain belakang
Vendry Mofu;Persiwa Wamena;Gelandang
Vendry Mofu;Semen Padang FC;Gelandang
Jandia Eka Putra;PSP Padang;Penjaga gawang
Jandia Eka Putra;Semen Padang;Penjaga gawang
Syafrudin (pemain sepak bola);Semen Padang FC;Bek
Vendry Ronaldo Mofu;Persiwa Wamena;Gelandang
Vendry Ronaldo Mofu;Semen Padang FC;Gelandang
Yeyen Tumena;Persebaya Surabaya;Bek
Yeyen Tumena;Persija Jakarta;Bek
Yeyen Tumena;Persikota Tangerang;Bek
Yeyen Tumena;Persma Manado;Bek
Yeyen Tumena;PSM Makassar;Bek
Yeyen Tumena;PSMS Medan;Bek
Yeyen Tumena;Perseden Denpasar;Bek
Syaifullah Nazar;Barito Putra;Striker
Amirul Mukminin;Barito Putra;Gelandang
Nehemia Solossa;Persekabpas Pasuruan;Striker
Nehemia Solossa;Persibo Bojonegoro;Striker
Nehemia Solossa;Persikad Depok;Striker
Nehemia Solossa;Persiram Raja Ampat;Striker
Nehemia Solossa;PS Barito Putera;Striker
Nehemia Solossa;Persegi Gianyar;Striker
Kurnia Sandy;Bandung FC;Kiper
Kurnia Sandy;Persebaya Surabaya;Kiper
Kurnia Sandy;Persikabo Bogor;Kiper
Kurnia Sandy;Persik Kediri;Kiper
Kurnia Sandy;PSM Makassar;Kiper
Kurnia Sandy;U.C. Sampdoria;Kiper
Kurnia Sandy;Pelita Jaya;Kiper
Kurnia Sandy;Arema Indonesia;Kiper
Kurnia Sandy;Mitra Kukar;Kiper
Jajang Paliama;Persibo Bojonegoro;Gelandang
Jajang Paliama;Persid Jember;Gelandang
Jajang Paliama;Semen Padang FC;Gelandang
Jajang Paliama;PS Mojokerto Putra;Gelandang
Jajang Paliama;Gresik United;Gelandang
Asep Mulyana;Persib;Gelandang
Mochammad Solechudin;Pelita Bandung Raya;Bek
Dolly Ramadhan Gultom;Pelita Bandung Raya;Gelandang
Iman Faturohman;Pelita Bandung Raya;Gelandang
Adi Sulistya;Pelita Bandung Raya;Gelandang
Delton Stevano;Persija Jakarta;Gelandang
Elthon Maran;Persiram Raja Ampat;Penyerang
Elthon Maran;PSIM Yogyakarta;Penyerang
Frans Freno Sauyai;Persiram Raja Ampat;Gelandang
Aples Tecuari;Perseman Manokwari;Pemain bertahan
Aples Tecuari;Persija Jakarta;Pemain bertahan
Aples Tecuari;PSPS Pekanbaru;Pemain bertahan
Aples Tecuari;Pelita Jaya FC;Pemain bertahan
Handi Ramdhan;Persiba Bantul;Pemain bertahan
Handi Ramdhan;Persikab Bandung;Pemain bertahan
Handi Ramdhan;Persiku Kudus;Pemain bertahan
Handi Ramdhan;Jakarta FC;Pemain bertahan
Rizky Bagja;Persib Bandung;Penjaga gawang
Rizky Bagja;Persib Bandung U-21;Penjaga gawang
Tantan;Persikab Bandung;Penyerang
Tantan;Batavia Union FC;Penyerang
Tantan;Persitara Jakarta Utara;Penyerang
Tantan;Sriwijaya F.C.;Penyerang
Rochy Putiray;PSM Makassar;Penyerang
Rochy Putiray;PSPS Pekanbaru;Penyerang
Rochy Putiray;PSS Sleman;Penyerang
Rochy Putiray;Kitchee SC;Penyerang
Rochy Putiray;Sriwijaya F.C.;Penyerang
Rochy Putiray;Arseto Solo;Penyerang
